TOTAL LENGHT,TOTAL CILINDERS,MAX LIFT,WEIGHT,OIL CONTENT,MODEL
500,2,3000,20,"2,4",100 050 02 30
600,2,3000,21,"2,8",100 060 02 30
700,2,3000,24,"3,2",100 070 02 30
360,3,3000,13,"1,6",100 036 03 30
500,3,3000,14,2,100 050 03 30
600,3,3000,16,"2,4",100 060 03 30
700,3,3000,17,"2,7",100 070 03 30
800,3,3000,19,"3,1",100 080 03 30
900,3,3000,20,"3,4",100 090 03 30
1050,3,3000,22,4,100 105 03 30
500,3,5000,21,"3,0",100 050 03 50
600,3,5000,23,"3,6",100 060 03 50
700,3,5000,25,"4,0",100 070 03 50
800,3,5000,27,"4,6",100 080 03 50
900,3,5000,29,"5,1",100 090 03 50
1050,3,5000,32,"5,9",100 105 03 50
1150,3,5000,35,"6,4",100 115 03 50
480,4,5000,17,"2,6",100 048 04 50
600,4,5000,18,"3,1",100 060 04 50
680,4,5000,19,"3,5",100 068 04 50
850,4,5000,22,"4,2",100 085 04 50
1050,4,5000,25,"5,1",100 105 04 50
1150,4,5000,27,"5,5",100 115 04 50
600,4,8000,24,"4,5",100 060 04 80
680,4,8000,25,"5,0",100 068 04 80
850,4,8000,28,"6,1",100 085 04 80
950,4,8000,30,"6,8",100 095 04 80
1050,4,8000,32,"7,4",100 105 04 80
1200,4,8000,35,"8,4",100 120 04 80
1300,4,8000,36,"9,0",100 130 04 80
1500,4,8000,40,"10,3",100 150 04 80
1700,4,8000,44,"11,6",100 170 04 80
2000,4,8000,53,"13,5",100 200 04 80
500,5,5000,19,"3,5",100 050 05 50
700,5,5000,21,"4,6",100 070 05 50
850,5,5000,23,"5,4",100 085 05 50
1050,5,5000,26,"6,5",100 105 05 50
1150,5,5000,28,"7,0",100 115 05 50
1250,5,5000,29,"7,6",100 125 05 50
1500,5,5000,33,"9,0",100 150 05 50
1850,5,5000,38,"11,0",100 185 05 50
600,6,5000,18,"3,6",100 060 06 50
850,6,5000,21,"4,9",100 085 06 50
1020,6,5000,23,"5,6",100 105 06 50
1150,6,5000,25,"6,3",100 115 06 50
1250,6,5000,26,"6,8",100 125 06 50
1000,5,9000,39,"9,2",100 100 05 90
1250,5,9000,45,"11,2",100 125 05 90
1500,5,9000,50,"13,1",100 150 05 90
1700,5,9000,54,"14,7",100 170 05 90
1850,5,9000,58,"15,9",100 185 05 90
2150,5,9000,61,"18,3",100 215 05 90
2500,5,9000,70,"21,0",100 250 05 90
1500,6,10000,56,"16,4",100 150 06 10
1700,6,10000,62,"18,5",100 170 06 10
1900,6,10000,65,"20,2",100 190 06 10
2300,6,10000,74,"24,1",100 230 06 10
2580,6,10000,80,"26,9",100 260 06 10
1000,5,12000,48,"12,6",100 100 05 12
1250,5,12000,54,"15,4",100 125 05 12
1500,5,12000,61,"18,1",100 150 05 12
1850,5,12000,70,"21,8",100 185 05 12
2150,5,12000,79,"25,1",100 215 05 12
2600,5,12000,90,"29,9",100 260 05 12
